Restaurant ID;Restaurant Name;Country;City;Address;Locality Verbose;Longitude;Latitude;Cuisines;Currency;Has Table booking;Has Online delivery;Is delivering now;Switch to order menu;Price range;Aggregate rating;Rating color;Rating text;Votes;Nummber of dishes in cuisines;Average cost of two in USD
6555;Bangla Sweets & Pastry Shop;India;New Delhi;38 & 39, AL Market, Shalimar Bagh, New Delhi;Shalimar Bagh, New Delhi;77.1618624;28.7035499;Mithai;Indian Rupees(Rs.);0;0;0;0;1;2.9;2.95;2;8;1;1.166
6900374;Bank;UK;Birmingham;4 Brindleyplace, Brindleyplace, Birmingham B1 2JB;Brindleyplace, Broad Street, Birmingham;-1.914805;52.477693;British, Steak;Pounds(ï¿½ï¿½);1;0;0;0;3;4.0;4.25;4;133;2;74.532
308673;Banke Bihari Bhojanalay;India;Gurgaon;U-8/26, DLF Phase 3, Gurgaon;DLF Phase 3, Gurgaon;77.0935436;28.4934335;Mithai, Street Food, North Indian;Indian Rupees(Rs.);0;0;0;0;1;2.6;2.95;2;36;3;2.332
18349764;Bansal Foods;India;New Delhi;Near Police Chowki, Krishna Nagar, New Delhi;Krishna Nagar, New Delhi;0.0;0.0;North Indian;Indian Rupees(Rs.);0;0;0;0;2;0.0;0.0;0;0;1;6.996
8502;Bansal Mithai Wale;India;New Delhi;7, B Block Market, Vivek Vihar, New Delhi;Vivek Vihar, New Delhi;77.318925;28.67130833;Mithai;Indian Rupees(Rs.);0;0;0;0;1;2.9;2.95;2;5;1;1.166
304267;Bansal Sweet;India;New Delhi;A 4/1, Acharya Niketan, Mayur Vihar Phase 1, New Delhi;Mayur Vihar Phase 1, New Delhi;77.2934295;28.6082009;Desserts, Street Food;Indian Rupees(Rs.);0;0;0;0;1;2.7;2.95;2;20;2;1.749
300872;Bansal Sweets;India;New Delhi;6, JD Market, Pitampura, New Delhi;Pitampura, New Delhi;77.1355462;28.7012377;Mithai;Indian Rupees(Rs.);0;0;0;0;1;3.9;3.7;3;91;1;1.166
4000016;Bansi Vihar;India;Patna;New Market Beside Buddha Park, Fraser Road Area, Patna;Fraser Road Area, Patna;85.137825;25.60803333;South Indian, Fast Food;Indian Rupees(Rs.);0;0;0;0;1;3.4;2.95;2;111;2;3.498
18463987;Bansiwala Bakery;India;Gurgaon;Shop 2, Sector 5 Chowk, Palam Vihar Road, Palam Vihar, Gurgaon;Palam Vihar, Gurgaon;77.0196076;28.4857718;Bakery, Fast Food;Indian Rupees(Rs.);0;0;0;0;1;0.0;0.0;0;0;2;2.332
18463989;Bansiwala Rasoi;India;Gurgaon;Shop 3, Sector 5 Chowk, Palam Vihar Road, Palam Vihar, Gurgaon;Palam Vihar, Gurgaon;77.0198157;28.4859312;Street Food;Indian Rupees(Rs.);0;0;0;0;1;0.0;0.0;0;0;1;3.498
